epoch,train_total_loss,train_ce_loss,train_cl_loss,train_scl_loss,train_acc,val_loss,val_acc,val_f1
1,4.2556210763113835,0.718579238312585,1.78975542477199,2.660008658340999,0.5382142857142858,0.7050170004367828,0.5533333333333333,0.5524812488611728
2,3.193265962600708,0.6631421478305544,0.7593552712883268,2.630662819658007,0.6039285714285715,0.6185307761033376,0.66,0.6599093293035247
3,2.8280419863973347,0.5719423599754061,0.4749796868009227,2.5509645884377616,0.7089285714285715,0.5383195928732554,0.755,0.7548223350253808
4,2.544506299495697,0.4879005222235407,0.3459247119511877,2.388657330785479,0.7717857142857143,0.4267953858772914,0.8233333333333334,0.8233745596781901
5,2.366038931097303,0.40750019035169055,0.2766812787737165,2.276230757577079,0.8321428571428572,0.3769866915543874,0.8416666666666667,0.8400514801239956
6,2.19936831848962,0.3313054371518748,0.22164065669157676,2.160663524014609,0.8739285714285714,0.3135369122028351,0.8766666666666667,0.876651592425101
7,2.123980427128928,0.29710021112646373,0.20272132445126773,2.101721255779266,0.8896428571428572,0.3030291717251142,0.87,0.8695115405260333
8,2.0878410870688304,0.25427941677825794,0.1937706080504826,2.076269539083753,0.9089285714285714,0.26275767261783284,0.8916666666666667,0.8915081411283768
9,1.9927572100503104,0.23667870048965728,0.1593143203641687,2.010861187321799,0.9110714285714285,0.23631397530436515,0.9016666666666666,0.9016915348223657
10,1.9490315771102906,0.2027722355616944,0.14838787616895777,1.9781850269862584,0.9278571428571428,0.23057069410880407,0.9,0.8999566623329001
