epoch,train_total_loss,train_ce_loss,train_supcon_loss,train_acc,val_loss,val_acc,val_f1
1,0.9046863276617868,0.582779920058591,1.6095320105552673,0.7275,0.39140631183981894,0.8283333333333334,0.8283691195886318
2,0.5931513155358178,0.3084986314762916,1.4232633927890233,0.8617857142857143,0.4946726125478744,0.7883333333333333,0.7838683013670515
3,0.47361725679465705,0.22362896394849355,1.2499414400543485,0.9064285714285715,0.269528835217158,0.8933333333333333,0.8926741364678086
4,0.3850485202882971,0.15825034389837778,1.1339908667121614,0.9378571428571428,0.2649707506472866,0.9066666666666666,0.906566827123076
5,0.3211796550452709,0.10984836646738196,1.0566564268725258,0.9596428571428571,0.2956100759111966,0.885,0.8848910328193642
6,0.29072957309229036,0.08905926275191763,1.008351536818913,0.9657142857142857,0.2746965196542442,0.9083333333333333,0.9083014492753624
7,0.24642469607293604,0.05141265371930785,0.9750601980515888,0.9789285714285715,0.337781319009761,0.89,0.8898238747553815
8,0.24154810674488544,0.05205529702060241,0.9474640354514122,0.9828571428571429,0.28767208847838144,0.9066666666666666,0.906566827123076
9,0.22884985015860626,0.04476260580443652,0.9204362050976072,0.985,0.319306730972603,0.91,0.910025006946374
10,0.2303805129549333,0.047793112894154804,0.912936982512474,0.9825,0.2928940279787639,0.9183333333333333,0.9183049275362318
