epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,0.5165561808219977,0.7417857142857143,0.3393883777658145,0.855,0.8550205421802213
2,0.28382645831576414,0.8846428571428572,0.2797387086848418,0.8783333333333333,0.8779973623788104
3,0.19579858007175582,0.9210714285714285,0.23945379190146923,0.905,0.9047376665149616
4,0.13584182567295752,0.945,0.26820277130852144,0.905,0.9049670115980276
5,0.10399764048767143,0.9621428571428572,0.22108276879414915,0.925,0.9249956196340516
6,0.07086175725179991,0.975,0.25176463936765986,0.895,0.8949005082263761
7,0.07029939369414934,0.9753571428571428,0.2314064992684871,0.9116666666666666,0.9116850809533737
8,0.0486610962902861,0.9828571428571429,0.25920305464727184,0.9233333333333333,0.922976281103996
9,0.04032444288993637,0.9871428571428571,0.2608663246516759,0.915,0.9150233828592388
10,0.0474469815032249,0.9814285714285714,0.23026848788373172,0.9233333333333333,0.9233410069062156
